Year,"Sahr/MeasuringWorth: Inflation conversion factors, 1780-2010","US CPI, 1982-84=100. Sahr (1780-1785), MeasuringWorth (1786-2010)","BLS Manufacturing Productivity, Output per hour index, 1958=100, 1889-2010","BLS Manufacturing Output per hour in 1958 dollars, 1889-2010","BLS Manufacturing Real Unit Labor Cost, 1889=100, 1889-2010","BLS Manufacturing Real Compensation, 1889=100, 1889-2010","Mfg Production Worker Real Compensation (comp/hr / CPI), 1790-2010. Sources: MeasuringWorth + BLS","MeasuringWorth, US CPI 1982-84=100, 1774-2024. Citation: Officer & Williamson 2025. Extends S008 CPI component only","Combined: Shaikh (1780-2010) + MeasuringWorth CPI (2011-2024), re-indexed at splice year 2010"
,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-EXT,S008-COMBINED
1921,0.48,17.9,61.89488243430151,0.7755083798882684,183.9965620971208,87.6550145612893,89.3358475492,17.9,89.3358475492
1922,0.44,16.77,57.98755186721991,0.758783542039356,180.0284390624283,88.03152747105524,89.0357972146742,16.77,89.0357972146742
1923,0.48,17.07,59.024896265560166,0.8132161687170475,192.9430850344734,90.17550500558545,88.7939104743059,17.07,88.7939104743059
1924,0.51,17.1,59.128630705394194,0.8625263157894736,204.6423751686909,89.96159858900867,88.6623594533407,17.1,88.6623594533407
1925,0.5,17.53,60.615491009681875,0.8248716486023959,195.70845583395496,86.72111216594412,88.7071771722809,17.53,88.7071771722809
1926,0.51,17.7,61.203319502074685,0.8332881355932203,197.70534550195563,85.39024650084464,89.0073730570956,17.7,89.0073730570956
1927,0.52,17.37,60.06224066390041,0.8657685664939552,205.41162924582613,88.37477072204148,89.6220847620311,17.37,89.6220847620311
1928,0.52,17.13,59.232365145228215,0.8778984238178634,208.28955049620546,88.92361578876464,90.5742762107626,17.13,90.5742762107626
1929,0.52,17.13,59.232365145228215,0.8778984238178634,208.28955049620546,85.47186730158522,91.8743904793452,17.13,91.8743904793452
1930,0.53,16.7,57.74550484094052,0.9178203592814372,217.76140027637032,92.08196354543658,93.5163278817261,16.7,93.5163278817261
1931,0.51,15.23,52.6625172890733,0.9684307288246882,229.76918026162934,95.70123455550039,95.4299448270589,15.23,95.4299448270589
1932,0.45,13.66,47.233748271092665,0.9527086383601758,226.03896835229193,97.24932359342792,97.5307344456804,13.66,97.5307344456804
1933,0.44,12.96,44.81327800829875,0.9818518518518519,232.9534662867996,102.61045538823315,99.7368904196565,12.96,99.7368904196565
1934,0.53,13.39,46.30013831258644,1.14470500373413,271.5918883207905,107.85939035280052,101.963799086596,13.39,101.963799086596
1935,0.54,13.73,47.47579529737206,1.1374217042971595,269.8638579192111,103.82976855817134,104.155577879912,13.73,104.155577879912
1936,0.55,13.86,47.9253112033195,1.1476190476190478,272.28327228327225,100.41011037688776,106.315306242151,13.86,106.315306242151
1937,0.63,14.36,49.65421853388658,1.268774373259053,301.0284979644311,111.94024547421053,108.442807837061,14.36,108.442807837061
1938,0.64,14.09,48.72060857538035,1.3136124911284601,311.6667576568216,112.68732931565862,110.478853265966,14.09,110.478853265966
1939,0.64,13.89,48.02904564315352,1.3325269978401728,316.15439995569585,110.35578111661077,112.399185051824,13.89,112.399185051824
1940,0.67,14.03,48.513139695712304,1.3810691375623665,327.6714732167334,110.05002580047628,114.201657184929,14.03,114.201657184929
1941,0.74,14.73,50.933609958506224,1.4528716904276986,344.7072954201263,113.876517237006,115.863731805059,14.73,115.863731805059
1942,0.86,16.3,56.36237897648686,1.525840490797546,362.0198206701274,120.49235410609937,117.321354480142,16.3,117.321354480142
1943,0.98,17.3,59.82019363762102,1.6382427745664743,388.68830591373944,128.02493162143938,118.490633460057,17.3,118.490633460057
1944,1.05,17.6,60.85753803596128,1.7253409090909089,409.3531468531467,125.00192379834742,119.319363449879,17.6,119.319363449879
1945,1.06,18.0,62.24066390041494,1.7030666666666667,404.06837606837604,116.80101495726494,119.850632820084,18.0,119.850632820084
1946,1.13,19.54,67.56569847856154,1.672446264073695,396.8034013069837,120.17783777646709,120.184336306649,19.54,120.184336306649
1947,1.3,22.34,77.2475795297372,1.6829006266786037,399.28379588182634,121.75961907385361,120.389862317351,22.34,120.389862317351
1948,1.41,24.08,83.26417704011064,1.6934053156146183,401.7761308458983,119.2437179783281,120.536555896898,24.08,120.536555896898
1949,1.46,23.85,82.4688796680498,1.7703647798742137,420.03547814868557,118.93861753700021,120.707463466828,23.85,120.707463466828
1950,1.55,24.08,83.26417704011064,1.8615448504983392,441.6687963199591,117.00533744991755,120.972665889707,24.08,120.972665889707
1951,1.72,25.98,89.83402489626556,1.9146420323325635,454.26659560608744,116.1724102872677,121.384569393434,25.98,121.384569393434
1952,1.83,26.55,91.80497925311202,1.99335593220339,472.94219904389394,118.59992467392408,121.955953547011,26.55,121.955953547011
1953,1.94,26.75,92.49654218533885,2.0973757009345797,497.62185478073326,122.99762531807303,122.647452225506,26.75,122.647452225506
1954,1.97,26.88,92.9460580912863,2.119508928571429,502.87316849816847,121.96140746627735,123.386139768515,26.88,123.386139768515
1955,2.05,26.78,92.60027662517288,2.213816280806572,525.248463261906,121.67559946599265,124.102615993382,26.78,124.102615993382
1956,2.16,27.18,93.98340248962656,2.298278145695364,545.2878247580232,129.21498288725246,124.713219319764,27.18,124.713219319764
1957,2.24,28.15,97.3374827109267,2.301271758436945,545.9980871703784,125.91766745655941,125.110062007383,28.15,125.110062007383
1958,2.39,28.92,100.0,2.39,567.049686136823,130.19135991971928,125.230224122765,28.92,125.230224122765
1959,2.45,29.16,100.8298755186722,2.4298353909465025,576.5010024269284,126.72893106719003,125.018885112363,29.16,125.018885112363
1960,2.54,29.62,102.42047026279391,2.479972991222147,588.3966135147768,128.25236598619728,124.470822181401,29.62,124.470822181401
1961,2.6,29.92,103.45781466113415,2.5131016042780754,596.2566844919786,126.7565920801917,123.597923683979,29.92,123.597923683979
1962,2.71,30.26,104.63347164591977,2.5899933906146733,614.4999745792871,124.48735972454183,122.449869752383,30.26,122.449869752383
1963,2.83,30.62,105.87828492392808,2.672880470280862,634.1657036627641,120.44184907851792,121.107961282062,30.62,121.107961282062
1964,2.89,31.03,107.29598893499308,2.6934837254270065,639.0540172041945,115.4290451990653,119.673900470938,31.03,119.673900470938
1965,3.0,31.56,109.12863070539419,2.749049429657795,652.2374963439602,113.83023131301215,118.242709904114,31.56,118.242709904114
1966,3.14,32.46,112.24066390041493,2.7975600739371536,663.747097018816,113.53748213953338,116.866973161982,32.46,116.866973161982
1967,3.29,33.4,115.49100968188104,2.8487065868263475,675.8820819898664,115.61323606087231,115.555146725894,33.4,115.555146725894
1968,3.52,34.8,120.33195020746885,2.9252413793103456,694.0406719717065,114.18231416040308,114.282417345583,34.8,114.282417345583
1969,3.72,36.67,126.79806362378976,2.933798745568585,696.07098655367,113.07588075797561,113.024520303522,36.67,113.024520303522
1970,3.93,38.84,134.30152143845092,2.9262512873326463,694.280282024875,112.4314250561377,111.756166708727,38.84,111.756166708727
1971,4.26,40.51,140.07607192254494,3.041204640829425,721.5540322427511,109.63103346830232,110.452622467181,40.51,110.452622467181
1972,4.59,41.85,144.7095435684647,3.171870967741936,752.5558312655087,109.81939085353841,109.09589181778,41.85,109.09589181778
1973,4.95,44.45,153.69986168741355,3.220562429696288,764.1083326122695,106.10981637919632,107.659752774744,44.45,107.659752774744
1974,5.44,49.33,170.57399723374826,3.1892317048449224,756.674827301221,107.68277242111897,106.125224434121,49.33,106.125224434121
1975,6.02,53.84,186.16874135546334,3.233625557206538,767.2076808778145,105.40680859061781,104.457828364207,53.84,104.457828364207
1976,6.53,56.94,196.88796680497924,3.3166069546891466,786.8957877387802,102.65157135559593,102.63863388896,56.94,102.63863388896
1977,7.15,60.61,209.57814661134162,3.4116152450090746,809.437386569873,101.73842384721416,100.658232048692,60.61,100.658232048692
1978,7.77,65.22,225.5186721991701,3.4453909843606256,817.4509942679214,101.75533698093085,98.5073275448304,65.22,98.5073275448304
1979,8.34,72.57,250.93360995850617,3.3235882596114106,788.5521671383599,96.98949686163088,96.1874427583111,72.57,96.1874427583111
1980,9.12,82.38,284.85477178423236,3.20163146394756,759.6167852540757,94.10269579176449,93.7326267946241,82.38,93.7326267946241
1981,10.0,90.93,314.4190871369294,3.1804684922467836,754.5956737642649,88.59418181073724,91.1849543316762,90.93,91.1849543316762
1982,10.8,96.5,333.6791147994467,3.2366424870466326,767.9234754882423,89.34670508365586,88.5901737794274,96.5,88.5901737794274
1983,11.22,99.6,344.39834024896265,3.257855421686747,772.9564411492121,84.06301805639842,85.968084004521,99.6,85.968084004521
1984,11.78,103.9,359.26694329183954,3.2788989412897016,777.9492115199525,82.35215913841199,83.3460821358061,103.9,83.3460821358061
1985,12.5,107.6,372.0608575380359,3.359665427509294,797.1118101229624,81.37898973705286,80.7324844620866,107.6,80.7324844620866
1986,12.9,109.6,378.97648686030425,3.4039051094890516,807.6080853453116,81.16730127921431,78.1256464508084,109.6,78.1256464508084
1987,13.05,113.6,392.8077455048409,3.322235915492958,788.2313109425785,74.03457029877246,75.5303987247965,113.6,75.5303987247965
1988,13.58,118.3,409.0594744121715,3.319810650887574,787.6558944014564,71.2596994525349,72.9820154423676,118.3,72.9820154423676
1989,14.0,124.0,428.7690179806362,3.265161290322581,774.6898263027296,69.72034498233965,70.5007667745909,124.0,70.5007667745909
1990,14.41,130.7,451.93637621023504,3.1885019127773533,756.5016773586017,67.26316985539266,68.0897027381116,130.7,68.0897027381116
1991,14.93,136.2,470.95435684647293,3.170158590308371,752.1495538235627,65.0838803904607,65.7440656818291,136.2,65.7440656818291
