,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S010,S010A,S010AA,S010AB,S010AC,S010AD,S010AE,S010AF,S010AG,S010AH,S010AI,S010AJ,S010AK,S010AL,S010AM,S010AN,S010AO,S010AP,S010AQ,S010AR,S010AS,S010B,S010C,S010D,S010E,S010F,S010G,S010H,S010I,S010J,S010K,S010L,S010M,S010N,S010O,S010P,S010Q,S010R,S010S,S010T,S010U,S010V,S010W,S010X,S010Y,S010Z
1894,-0.0110880706369831,8.34,20.649999999999995,3.884837647058824,0.0,58.7864658485236,67.6684023621754,-0.335747965386129,57.2558587434873,66.3027746341656,,,,,,,,,-0.0741797432239656,-0.0079461054945498,-0.105008077544426,28.83817427385892,20.67,100.0,49.94011976047904,55.4,,55.400000000000006,4.24,,4.88,,4.24,99.76470588235294,64.9,,,64.9,65.05306603773586,-31.2394342343009,-23.0720565061481,-27.1557453702245,-24.1780198840097,67.2538860103627,72.93310305123777,67.0952683546779
1895,-0.0059875222297568,8.14,20.649999999999995,3.884837647058824,0.0,58.2987370853247,67.2591042140907,-0.387194018797856,55.6861076193301,64.6902919259306,,,,,,,,,-0.0154083204930663,-0.0045870119446957,0.01985559566787,28.146611341632088,20.67,100.0,48.74251497005988,56.5,,56.50000000000001,4.24,,4.89,,4.24,99.76470588235294,63.9,,,63.9,64.05070754716981,-30.3773263236193,-24.1346683977138,-27.2559973606665,-24.7774206335039,66.21761658031087,71.95647668393782,66.06144295630071
1896,-5.45381531082329e-05,8.14,20.649999999999995,3.894,0.0,58.1790549677285,67.1090741601777,-0.389632651604208,54.8975906113697,64.2358944106737,,,,,,,,,-0.0156494522691705,-0.0005561259462227,-0.047787610619469,28.146611341632088,20.67,100.0,48.74251497005988,53.8,,53.8,4.25,,4.87,,4.25,100.0,62.9,,,62.9,62.9,-33.3134980477032,-25.3652229733189,-29.339360510511,-25.0712157602888,65.18134715025907,70.54070236039148,64.87461139896375
1897,0.0064078118656179,8.04,20.649999999999995,3.894,0.0,58.4550733451372,67.2272178513342,-0.350162317473398,55.3458781669244,65.1579040619513,,,,,,,,,0.0158982511923688,0.0036412006576935,0.0,27.800829875518662,20.67,100.0,48.1437125748503,53.8,,53.8,4.25,,4.86,,4.25,100.0,63.9,,,63.9,63.9,-33.5476671125151,-24.4635604723927,-29.0056137924539,-25.0409437411798,66.21761658031087,71.51502590673574,65.90600426699177
1898,0.0126191273744133,8.04,20.649999999999995,3.894,0.0,59.1106555172755,67.5809501968563,-0.280305043967233,57.1206771961893,67.2493447164287,,,,,,,,,0.0328638497652582,0.0073486827606479,0.0427509293680298,27.800829875518662,20.67,100.0,48.1437125748503,56.1,,56.10000000000001,4.25,,4.85,,4.25,100.0,66.0,,,66.0,66.0,-31.4795512240172,-22.4795019738412,-26.9795265989292,-24.7108245004942,68.39378238341969,73.713298791019,68.07192928985067
1899,0.0177349298026133,8.04,20.649999999999995,3.884837647058824,0.0,60.0831140504168,68.1044139275269,-0.210611196553157,59.7964018870512,69.8839388567872,,,,,,,,,0.062121212121212,0.0100326057615821,0.0748663101604277,27.800829875518662,20.67,100.0,48.1437125748503,60.3,,60.30000000000001,4.24,,4.86,,4.24,99.76470588235294,70.1,,,70.1,70.26533018867923,-27.5088680881721,-18.3428493960477,-22.9258587421099,-24.1447246630624,72.64248704663211,78.45388601036268,72.47116042623912
1900,0.0212120585994893,8.14,20.649999999999995,3.894,0.0,61.2796549556619,68.7166422721602,-0.226811353296071,62.6072406953339,72.042294060232,,,,,,,,,0.102710413694721,0.0114144067294838,0.0746268656716418,28.146611341632088,20.67,100.0,48.74251497005988,64.8,,64.80000000000001,4.25,,4.87,,4.25,100.0,77.3,75.1083333333333,,77.3,77.3,-23.235335410942,-11.4633854968722,-17.3493604539071,-23.4291978746988,80.10362694300518,86.68992515831894,79.72666869856752
1901,0.0230786670178912,8.24,20.649999999999995,3.894,0.0,62.6096531036074,69.3580243202954,-0.163827955199946,64.9552481145107,72.8237049517059,,,,,,,,,-0.0659767141009055,0.011736408796937,-0.0138888888888888,28.492392807745503,20.67,100.0,49.34131736526946,63.9,,63.900000000000006,4.25,,4.87,,4.25,100.0,72.2,70.1416666666667,,72.2,72.2,-24.3586708982893,-16.7308738736517,-20.5447723859705,-22.6386091220086,74.81865284974093,80.97040875071963,74.46656507162452
1902,0.02389705638139,8.34,20.649999999999995,3.884837647058824,0.0,64.017686815293,70.0555827387498,-0.152781113291639,66.973398406277,73.1067014694074,,,,,,,,,-0.015235457063712,0.0121538951661781,0.0672926447574335,28.83817427385892,20.67,100.0,49.94011976047904,68.2,,68.2,4.24,,4.87,,4.24,99.76470588235294,71.1,69.4333333333333,,71.1,71.26768867924527,-20.2785922561764,-17.8450589632006,-19.0618256096885,-21.7865250173887,73.67875647668393,79.73678756476683,73.50498582461628
1903,0.0238598524544893,8.53,20.649999999999995,3.894,0.0,65.4612378807227,70.8661599511378,-0.15475958399811,68.4429164608245,73.6085785676333,,,,,,,,,0.0421940928270042,0.0130450178104652,0.0131964809384163,29.495159059474407,20.67,100.0,51.07784431137724,69.1,,69.1,4.25,,4.86,,4.25,100.0,74.1,69.6,,74.1,74.1,-19.5948171905658,-15.2156660418097,-17.4052416161878,-20.865573805876,76.78756476683937,82.93056994818652,76.42621152087779
