Year,"BEA Current-Cost Corporate Net Stock; Source: FA Table 6.1, line 2: Bill-$","BEA Chain-Index Real Corporate Net Stock; Source: FA Table 6.2, line 2: 2005 = 100",BEA Constant-Cost Corporate Net Stock; Source: KNRIndex(t)*KNC(2005)/100: Bills-2005$,"Implicit Price Deflator, Net Corporate Capital Stock; Source: (KNCcorp/KNRcorp)*100","BEA Historical-Cost Corporate Net Stock; Source: FA Table 6.3, line 2: Bill-$","Current-Cost Corporate Depreciation; Source: FA Table 6.4, line 2: Bill-$",Correct Depreciation Rate; Source: DEPcorp/[(pKN/100)*KNR(-1)],"Historical-Cost Corporate Depreciation; Source: FA Table 6.6, line 2: Bill-$","Current-Cost Gross Investment; Source: FA Table 6.7, line 2: Bill-$","Chain-Type Quantity Index Gross Investment; Source: FA Table 6.8, line 2: Bill-$",Constant-Cost Quantity Index Gross Investment; Source: (IGRcorpindexbea(t)/100)*IGCcorpbea(2005): Bills-2005$,"Implicit Price Deflator, Gross Investment; Source: (IGCcorpbea/IGRcorpbea)*100",Current-cost approximation using Ch 6 eq. 6.57; Source: KNC' = IGC + (1-d)*(pKN/pKN(-1))*KNC'(-1),Constant-cost approximation using Ch 6 eq. 6.58; Source: KNR' = (IGC*100/pKN) + (1-d)*KNR'(-1),"Historical-cost approximation using Ch 6 eq. 6.59; Source: KNH = INH + KNH(-1)                                                                              where INH = IGC - DEPH, DEPH = hist cost deprec",Whelan-Liu Depreciation Rate; Source: Depcorp/KNCcorpbea(-1),Relative Current-Cost Approximation; Source: KNCcorp'/KNCcorp,Relative Constant-Cost Approximation; Source: KNRcorp'/KNRcorp,Relative Historical-Cost Approximation; Source: KNHcorp'/KNhcorp,"BEA FA T6.1 line 2: Corp current-cost net stock, post-2011","BEA FA T6.2 line 2: Corp chain index net stock, post-2011","Implicit price deflator net capital stock, BEA-derived post-2011","BEA FA T6.3 line 2: Corp historical-cost net stock, post-2011","BEA FA T6.4 line 2: Corp current-cost depreciation, post-2011","Correct depreciation rate, BEA-derived post-2011","BEA FA T6.7 line 2: Corp gross investment, post-2011","BEA FA T6.8 line 2: Corp chain-type investment index, post-2011",Spliced Shaikh KNCcorp (1925-2011) + BEA (post-2011),Spliced Shaikh KNR index (1925-2011) + BEA (post-2011),Spliced Shaikh DEPcorp (1925-2011) + BEA (post-2011),Spliced Shaikh IGCcorp (1925-2011) + BEA (post-2011)
,S209A,S209B,S209C,S209D,S209E,S209F,S209G,S209H,S209I,S209J,S209K,S209L,S209M,S209N,S209O,S209P,S209Q,S209R,S209S,S209A_EXT,S209B_EXT,S209D_EXT,S209E_EXT,S209F_EXT,S209G_EXT,S209I_EXT,S209J_EXT,S209A_COMBINED,S209B_COMBINED,S209F_COMBINED,S209I_COMBINED
1967,610.8,29.223,3146.8203089999997,19.410069213456318,450.7,36.9,0.06337724872456607,31.5,64.9,15.875,169.1005,38.37954352589141,608.2310126300881,3133.5849756188563,452.1,0.06549520766773163,0.9957940612804325,0.9957940612804328,1.0031062791213667,,,,,,,,,610.8,29.223,36.9,64.9
1968,672.6,30.643,3299.730169,20.38348487760849,487.4,40.7,0.06345181208260749,34.4,71.0,16.812,179.08142400000003,39.64676984029342,669.2050013381674,3283.0745348814107,488.70000000000005,0.06663392272429601,0.9949524254210041,0.9949524254210044,1.0026672137874437,,,,,,,,,672.6,30.643,40.7,71.0
1969,741.1,32.161,3463.192963,21.399327381342918,529.0,45.2,0.06401177711876019,37.7,79.2,18.042,192.18338400000005,41.210638688722426,736.7840182637449,3443.0241901253066,530.2,0.0672019030627416,0.9941762491752056,0.9941762491752056,1.0022684310018903,,,,,,,,,741.1,32.161,45.2,79.2
1970,815.7,33.48,3605.2268399999994,22.6254833939936,569.4,50.1,0.0639386067882377,41.1,81.4,17.712,188.668224,43.14452019222909,810.5926363043061,3582.653339108302,570.5,0.06760221292673053,0.993738673904997,0.993738673904997,1.0019318580962417,,,,,,,,,815.7,33.48,50.1,81.4
1971,895.2,34.66,3732.2927799999993,23.985256590722237,609.7,54.9,0.06348854584066034,44.3,84.6,17.616,187.64563199999998,45.08498231389687,889.3523429438201,3707.912565287425,610.8,0.0673041559396837,0.9934677646825514,0.9934677646825514,1.0018041659832704,,,,,,,,,895.2,34.66,54.9,84.6
1972,972.2,36.02,3878.74166,25.064829917030362,657.3,59.8,0.06392352524236082,48.3,96.2,19.429,206.957708,46.482926840299186,966.172605633474,3854.6944417005816,658.6999999999999,0.06680071492403931,0.9938002526573482,0.9938002526573481,1.002129925452609,,,,,,,,,972.2,36.02,59.8,96.2
1973,1097.4,37.719,4061.6950769999994,27.01827634019609,718.2,67.0,0.06393318030897722,53.8,114.8,22.275,237.27329999999998,48.3830249758401,1089.6873794007997,4033.149138309876,719.6999999999999,0.06891586093396421,0.9929719148904681,0.9929719148904679,1.0020885547201335,,,,,,,,,1097.4,37.719,67.0,114.8
1974,1346.4,39.393,4241.956419,31.740071490819343,790.1,78.9,0.061201460476166786,59.7,131.2,23.143,246.519236,53.22099894873923,1332.9789357460609,4199.672127807332,791.1999999999999,0.07189721159103335,0.9900318892944598,0.99003188929446,1.0013922288317934,,,,,,,,,1346.4,39.393,78.9,131.2
1975,1495.4,40.499,4361.053817,34.28987723496374,858.5,94.5,0.06496802669149522,65.7,134.0,20.797,221.52964400000002,60.488518638164734,1480.5044033577967,4317.6136012764655,859.4999999999999,0.07018716577540106,0.9900390553415785,0.9900390553415785,1.0011648223645893,,,,,,,,,1495.4,40.499,94.5,134.0
1976,1643.8,41.65,4484.99695,36.65108401021321,934.6,104.7,0.06550408907427115,72.4,148.6,21.824,232.46924800000002,63.922433301801696,1627.3950991459658,4440.237289277652,935.6999999999998,0.07001471178280058,0.9900201357500704,0.9900201357500705,1.0011769741065695,,,,,,,,,1643.8,41.65,104.7,148.6
