1997 NAICS,NAICS Part Indicator,1997 NAICS Title,SIC,SIC Part Indicator,SIC Title and Part Description
337127,a,Institutional Furniture Manufacturing,2531,*,Public Building and Related Furniture (furniture made for public buildings)
337127,b,Institutional Furniture Manufacturing,2541,*,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers (wood lunchroom tables and chairs)"
337127,c,Institutional Furniture Manufacturing,2542,*,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood (lunchroom tables and chairs (except wood))"
337127,d,Institutional Furniture Manufacturing,2599,*,"Furniture and Fixtures, NEC (except hospital beds)"
337127,e,Institutional Furniture Manufacturing,3952,*,"Lead Pencils, Crayons, and Artist's Materials (drafting tables and boards)"
337127,f,Institutional Furniture Manufacturing,3999,*,"Manufacturing Industries, NEC (beauty and barber chairs)"
337129,,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing",2517,,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets"
337211,,Wood Office Furniture Manufacturing,2521,,Wood Office Furniture
337212,,Custom Architectural Woodwork and Millwork Manufacturing,2541,*,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers (architectural woodwork, millwork, and fixtures)"
337214,,Office Furniture (except Wood) Manufacturing,2522,,"Office Furniture, Except Wood"
337215,a,"Showcase, Partition, Shelving, and Locker Manufacturing",2511,*,"Wood Household Furniture, Except Upholstered (wood box spring frames)"
337215,b,"Showcase, Partition, Shelving, and Locker Manufacturing",2514,*,Metal Household Furniture (metal box spring frames)
337215,c,"Showcase, Partition, Shelving, and Locker Manufacturing",2542,*,"Office and Store Fixtures, Partitions, Shelving and Lockers, Except Wood (except lunchroom tables and chairs)"
337215,d,"Showcase, Partition, Shelving, and Locker Manufacturing",2541,*,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers (except counter tops, custom architectural woodwork, millwork, lunchroom and other fixtures)"
337215,e,"Showcase, Partition, Shelving, and Locker Manufacturing",2426,*,Hardwood Dimension and Flooring Mills (wood furniture frames and finished furniture parts)
337215,f,"Showcase, Partition, Shelving, and Locker Manufacturing",3089,*,"Plastics Products, NEC (finished plastics furniture parts)"
337215,g,"Showcase, Partition, Shelving, and Locker Manufacturing",3429,*,"Hardware, NEC (convertible bed sleeper mechanisms, chair glides)"
337215,h,"Showcase, Partition, Shelving, and Locker Manufacturing",3499,*,"Fabricated Metal Products, NEC (metal furniture frames)"
33791,,Mattress Manufacturing,2515,*,"Mattresses, Foundations and Convertible Beds (mattresses and foundations)"
33792,,Blind and Shade Manufacturing,2591,,Drapery Hardware and Window Blinds and Shades
339111,a,Laboratory Apparatus and Furniture Manufacturing,2599,*,"Furniture and Fixtures, NEC (hospital beds)"
339111,b,Laboratory Apparatus and Furniture Manufacturing,3821,,Laboratory Apparatus and Furniture
339111,c,Laboratory Apparatus and Furniture Manufacturing,3841,*,Surgical and Medical Instruments and Apparatus (operating tables)
339112,a,Surgical and Medical Instrument Manufacturing,3841,*,Surgical and Medical Instruments and Apparatus (except tranquilizer guns and operating tables)
339112,b,Surgical and Medical Instrument Manufacturing,3829,*,"Measuring and Controlling Devices, NEC (medical thermometers)"
339113,a,Surgical Appliance and Supplies Manufacturing,3069,*,"Fabricated Rubber Products, NEC (rubber gloves and life jackets)"
339113,b,Surgical Appliance and Supplies Manufacturing,3842,*,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies (except electronic hearing aids)"
339113,c,Surgical Appliance and Supplies Manufacturing,3851,*,Ophthalmic Goods (intra ocular lenses)
339114,,Dental Equipment and Supplies Manufacturing,3843,,Dental Equipment and Supplies
339115,a,Ophthalmic Goods Manufacturing,3851,*,Ophthalmic Goods (except intra ocular lenses)
339115,b,Ophthalmic Goods Manufacturing,5995,*,Optical Goods Stores (optical laboratories grinding of lenses to prescription)
339116,,Dental Laboratories,8072,,Dental Laboratories
339911,a,Jewelry (except Costume) Manufacturing,3479,*,"Coating, Engraving, and Allied Services, NEC (jewelry engraving and etching, including precious metal)"
339911,b,Jewelry (except Costume) Manufacturing,3911,,"Jewelry, Precious Metal"
339912,a,Silverware and Hollowware Manufacturing,3479,*,"Coating, Engraving, and Allied Services, NEC (silver and plated ware engraving and etching)"
339912,b,Silverware and Hollowware Manufacturing,3914,*,"Silverware, Plated Ware, and Stainless Steel Ware (except  nonprecious and precious plated metal cutlery and flatware)"
339913,,Jewelers' Material and Lapidary Work Manufacturing,3915,*,"Jewelers' Findings and Materials, and Lapidary Work (except watch jewels)"
339914,a,Costume Jewelry and Novelty Manufacturing,3479,*,"Coating, Engraving, and Allied Services, NEC (costume jewelry engraving and etching)"
339914,b,Costume Jewelry and Novelty Manufacturing,3961,,"Costume Jewelry and Costume Novelties, Except Precious Metal"
33992,a,Sporting and Athletic Goods Manufacturing,3949,,"Sporting and Athletic Goods, NEC"
33992,b,Sporting and Athletic Goods Manufacturing,3069,*,"Fabricated Rubber Products, NEC (wet suits)"
339931,,Doll and Stuffed Toy Manufacturing,3942,,Dolls and Stuffed Toys
339932,a,"Game, Toy, and Children's Vehicle Manufacturing",3069,*,"Fabricated Rubber Products, NEC (rubber toys, except dolls)"
339932,b,"Game, Toy, and Children's Vehicle Manufacturing",3944,*,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles (except metal tricycles)"
339932,c,"Game, Toy, and Children's Vehicle Manufacturing",3999,*,"Manufacturing Industries, NEC (embroidery kits)"
339941,,Pen and Mechanical Pencil Manufacturing,3951,,"Pens, Mechanical Pencils, and Parts"
339942,a,Lead Pencil and Art Good Manufacturing,2531,*,Public Buildings and Related Furniture (blackboards)
339942,b,Lead Pencil and Art Good Manufacturing,3579,*,"Office Machines, NEC (pencil sharpeners, staplers and other office equipment)"
339942,c,Lead Pencil and Art Good Manufacturing,3952,*,"Lead Pencils, Crayons, and Artists' Materials (except drawing and india ink, and drafting tables and boards)"
339943,,Marking Device Manufacturing,3953,,Marking Devices
339944,,Carbon Paper and Inked Ribbon Manufacturing,3955,,Carbon Paper and Inked Ribbons
33995,,Sign Manufacturing,3993,*,Signs and Advertising Specialties (signs)
339991,,"Gasket, Packing, and Sealing Device Manufacturing",3053,,"Gaskets, Packing, and Sealing Devices"
339992,,Musical Instrument Manufacturing,3931,,Musical Instruments
339993,a,"Fastener, Button, Needle, and Pin Manufacturing",3965,,"Fasteners, Buttons, Needles, and Pins"
339993,b,"Fastener, Button, Needle, and Pin Manufacturing",3131,*,Boat and Shoe Cut Stock and Findings (metal buckles)
339994,a,"Broom, Brush, and Mop Manufacturing",3991,,Brooms and Brushes
339994,b,"Broom, Brush, and Mop Manufacturing",2392,*,"Housefurnishings, Except Curtains and Draperies (mops, floor and dust)"
339995,,Burial Casket Manufacturing,3995,,Burial Caskets
339999,a,All Other Miscellaneous Manufacturing,2499,*,"Wood Products, NEC (mirror and picture frames)"
339999,b,All Other Miscellaneous Manufacturing,3634,*,Electric Housewares and Fans (electronic cigarette lighters)
339999,c,All Other Miscellaneous Manufacturing,3999,*,"Manufacturing Industries, NEC (other miscellaneous products not specially provided for previously)"
42111,,Automobile and Other Motor Vehicle Wholesalers,5012,,Automobiles and Other Motor Vehicles
42112,,Motor Vehicle Supplies and New Parts Wholesalers,5013,*,Motor Vehicle Supplies and New Parts (except parts sold via retail methods)
42113,,Tire and Tube Wholesalers,5014,*,Tires and Tubes (except tires sold via retail method)
42114,,Motor Vehicle Parts (Used) Wholesalers,5015,*,"Motor Vehicle Parts, Used (except sold via retail method)"
42121,,Furniture Wholesalers,5021,*,Furniture (except furniture sold via retail method)
42122,,Home Furnishing Wholesalers,5023,*,Homefurnishings (except homefurnishings sold via retail method)
42131,,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",5031,,"Lumber, Plywood, Millwork, and Wood Panels"
42132,,"Brick, Stone, and Related Construction Material Wholesalers",5032,,"Brick, Stone, and Related Construction Materials  (except construction materials sold via retail method)"
42133,,"Roofing, Siding, and Insulation Material Wholesalers",5033,,"Roofing, Siding, and Insulation Materials"
42139,,Other Construction Material Wholesalers,5039,*,"Construction Materials, NEC (sold via wholesale method)"
42141,,Photographic Equipment and Supplies Wholesalers,5043,,Photographic Equipment and Supplies
42142,,Office Equipment Wholesalers,5044,*,Office Equipment (except sold via retail method)
42143,,Computer and Computer Peripheral Equipment and Software Wholesalers,5045,*,"Computers and Computer Peripherals Equipment and Software (except computers, equipment, and software sold via retail method)"
42144,,Other Commercial Equipment Wholesalers,5046,,"Commercial Equipment, NEC"
42145,,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",5047,*,"Medical, Dental and Hospital Equipment and Supplies (except medical, dental, and hospital equipment and supplies sold via retail method)"
42146,,Ophthalmic Goods Wholesalers,5048,,Ophthalmic Goods
42149,,Other Professional Equipment and Supplies Wholesalers,5049,*,"Professional Equipment and Supplies, NEC (except religious and school supplies sold via retail method)"
42151,,Metal Service Centers and Offices,5051,,Metals Service Centers and Offices
42152,,Coal and Other Mineral and Ore Wholesalers,5052,,Coal and Other Mineral and Ores
42161,,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",5063,*,"Electrical Apparatus and Equipment, Wiring Supplies and Construction Materials (except electrical supplies sold via retail method)"
42162,,"Electrical Appliance, Television, and Radio Set Wholesalers",5064,,"Electrical Appliances, Television and Radio Sets"
42169,,Other Electronic Parts and Equipment Wholesalers,5065,,"Electronic Parts and Equipment, NEC"
42171,,Hardware Wholesalers,5072,*,Hardware (except sold via retail method)
42172,,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,5074,*,Plumbing and Heating Equipment and Supplies (Hydronics) (except  plumbing equipment sold via retail method)
42173,,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,5075,,Warm Air Heating and Air-Conditioning Equipment and Supplies
42174,,Refrigeration Equipment and Supplies Wholesalers,5078,,Refrigeration Equipment and Supplies
42181,,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,5082,,Construction and Mining (Except Petroleum) Machinery and Equipment
42182,,Farm and Garden Machinery and Equipment Wholesalers,5083,*,Farm and Garden Machinery and Equipment (except lawn and garden equipment sold via retail method)
42183,a,Industrial Machinery and Equipment Wholesalers,5084,,Industrial Machinery and Equipment
42183,b,Industrial Machinery and Equipment Wholesalers,5085,*,Industrial Supplies (fluid power accessories)
42184,,Industrial Supplies Wholesalers,5085,*,Industrial Supplies (except fluid power accessories)
42185,,Service Establishment Equipment and Supplies Wholesalers,5087,*,Service Establishment Equipment and Supplies (except sales of the service establishment equipment and supplies sold via retail method)
42186,a,Transportation Equipment and Supplies (except Motor Vehicle) Wholesalers,5088,,"Transportation Equipment and Supplies, Except Motor Vehicles"
42186,b,Transportation Equipment and Supplies (except Motor Vehicle) Wholesalers,7389,*,"Business Services, NEC (yacht brokers)"
42191,,Sporting and Recreational Goods and Supplies Wholesalers,5091,,Sporting and Recreational Goods and Supplies
42192,,Toy and Hobby Goods and Supplies Wholesalers,5092,,Toys and Hobby Goods and Supplies
42193,,Recyclable Material Wholesalers,5093,,Scrap and Waste Materials
42194,,"Jewelry, Watch, Precious Stone, and Precious Metal Wholesalers",5094,,"Jewelry, Watches, Precious Stones, and Precious Metals"
42199,a,Other Miscellaneous Durable Goods Wholesalers,5099,,"Durable Goods, NEC"
42199,b,Other Miscellaneous Durable Goods Wholesalers,7822,*,Motion Picture and Video Tape Distribution (prerecorded video tapes - distribution)
42211,,Printing and Writing Paper Wholesalers,5111,,Printing and Writing Paper
42212,,Stationery and Office Supplies Wholesalers,5112,*,Stationery and Office Supplies (except stationery and office supplies sold via retail method)
42213,,Industrial and Personal Service Paper Wholesalers,5113,,Industrial and Personal Service Paper
42221,,Drugs and Druggists' Sundries Wholesalers,5122,,"Drugs, Drug Proprietaries, and Druggists' Sundries"
42231,,"Piece Goods, Notions, and Other Dry Goods Wholesalers",5131,*,"Piece Goods, Notions, and Other Dry Goods (except piece goods converters)"
42232,,Men's and Boys' Clothing and Furnishings Wholesalers,5136,,Men's and Boys' Clothing and Furnishings
42233,,"Women's, Children's, and Infants' Clothing and Accessories Wholesalers",5137,,"Women's, Children's, and Infants' Clothing and Accessories"
42234,,Footwear Wholesalers,5139,,Footwear
42241,,General Line Grocery Wholesalers,5141,,"Groceries, General Line"
42242,,Packaged Frozen Food Wholesalers,5142,,Packaged Frozen Foods
42243,,Dairy Product (except Dried or Canned) Wholesalers,5143,,"Dairy Products, Except Dried or Canned"
42244,,Poultry and Poultry Product Wholesalers,5144,,Poultry and Poultry Products
42245,,Confectionery Wholesalers,5145,,Confectionery
42246,,Fish and Seafood Wholesalers,5146,,Fish and Seafoods
42247,,Meat and Meat Product Wholesalers,5147,*,Meats and Meat Products (except boxed beef)
42248,,Fresh Fruit and Vegetable Wholesalers,5148,,Fresh Fruits and Vegetables
42249,,Other Grocery and Related Products Wholesalers,5149,*,"Groceries and Related Products, NEC (except bottling mineral or spring water)"
42251,,Grain and Field Bean Wholesalers,5153,,Grain and Field Beans
42252,,Livestock Wholesalers,5154,,Livestock
42259,,Other Farm Product Raw Material Wholesalers,5159,,"Farm-Product Raw Materials, NEC"
42261,,Plastics Materials and Basic Forms and Shapes Wholesalers,5162,,Plastics Materials and Basic Forms and Shapes
42269,,Other Chemical and Allied Products Wholesalers,5169,,"Chemicals and Allied Products, NEC"
42271,,Petroleum Bulk Stations and Terminals,5171,*,Petroleum Bulk Stations and Terminals (except  petroleum sold via retail method)
42272,,Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals),5172,,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals"
42281,,Beer and Ale Wholesalers,5181,,Beer and Ale
42282,,Wine and Distilled Alcoholic Beverage Wholesalers,5182,,Wine and Distilled Alcoholic Beverages
42291,,Farm Supplies Wholesalers,5191,*,Farm Supplies (except lawn and garden supplies sold via retail method)
42292,,"Book, Periodical, and Newspaper Wholesalers",5192,,"Books, Periodicals, and Newspapers"
42293,,"Flower, Nursery Stock, and Florists' Supplies Wholesalers",5193,*,"Flowers, Nursery Stock, and Florists' Supplies (except nursery stock sold via retail method)"
42294,,Tobacco and Tobacco Product Wholesalers,5194,,Tobacco and Tobacco Products
42295,,"Paint, Varnish, and Supplies Wholesalers",5198,,"Paints, Varnishes, and Supplies"
42299,,Other Miscellaneous Nondurable Goods Wholesalers,5199,*,"Nondurable Goods, NEC (except specialty advertising)"
44111,,New Car Dealers,5511,,Motor Vehicle Dealers (New and Used)
44112,,Used Car Dealers,5521,,Motor Vehicle Dealers (Used Only)
44121,,Recreational Vehicle Dealers,5561,,Recreational Vehicle Dealers
441221,,Motorcycle Dealers,5571,,Motorcycle Dealers
441222,,Boat Dealers,5551,,Boat Dealers
441229,,All Other Motor Vehicle Dealers,5599,,"Automotive Dealers, NEC"
44131,a,Automotive Parts and Accessories Stores,5013,*,Motor Vehicle Supplies and New Parts (Wholesale) (auto parts sold via retail method)
44131,b,Automotive Parts and Accessories Stores,5731,*,"Radio, Television, and Consumer Electronics Stores (automobile radios)"
44131,c,Automotive Parts and Accessories Stores,5015,*,"Motor Vehicle Parts, Used (sold via retail method)"
44131,d,Automotive Parts and Accessories Stores,5531,*,Auto and Home Supply Stores (auto supply stores)
44132,a,Tire Dealers,5014,*,Tires and Tubes (Wholesale) (tires and tubes sold via retail method)
44132,b,Tire Dealers,5531,*,Auto and Home Supply Stores (tires and tubes)
44211,a,Furniture Stores,5021,*,Furniture (Wholesale) (sold via the retail method)
44211,b,Furniture Stores,5712,*,Furniture Stores (except custom furniture and cabinets)
44221,a,Floor Covering Stores,5023,*,Homefurnishings (Wholesale) (floor covering sold via retail method)
44221,b,Floor Covering Stores,5713,,Floor Coverings Stores
442291,a,Window Treatment Stores,5714,*,"Drapery, Curtain, and Upholstery Stores (drapery and curtain stores)"
442291,b,Window Treatment Stores,5719,*,Miscellaneous Homefurnishings Stores (blinds and shades)
442299,a,All Other Home Furnishings Stores,5719,*,Miscellaneous Homefurnishings Stores (except pottery and crafts made and sold on site and window furnishings)
442299,b,All Other Home Furnishings Stores,7699,*,"Repair Shops and Related Services, NEC (custom picture framing)"
443111,a,Household Appliance Stores,5722,,Household Appliance Stores
443111,b,Household Appliance Stores,7623,*,Refrigeration and Air-Conditioning Service and Repair Shops (retailing new refrigerators from a storefront and repairing refrigerators)
443111,c,Household Appliance Stores,7629,*,"Electrical and Electronic Repair Shops, NEC (retailing new electrical and electronic appliances from a storefront and repairing appliances)"
443112,a,"Radio, Television, and Other Electronics Stores",5731,*,"Radio, Television, and Consumer Electronics Stores (except auto radios)"
443112,b,"Radio, Television, and Other Electronics Stores",5999,*,"Miscellaneous Retail Stores, NEC (typewriters and telephones)"
443112,c,"Radio, Television, and Other Electronics Stores",7622,*,Radio and Television Repair Shops (retailing new radios and TVs from a storefront and repairing radios and TVs)
44312,a,Computer and Software Stores,5045,*,Computers and Computer Peripheral Equipment and Software (sold via retail method)
44312,b,Computer and Software Stores,5734,,Computer and Computer Software Stores
44312,c,Computer and Software Stores,7378,*,Computer Maintenance and Repair (retailing new computers from a storefront and repairing computers)
44313,,Camera and Photographic Supplies Stores,5946,,Camera and Photographic Supply Stores
44411,,Home Centers,5211,*,Lumber and Other Building Materials Dealers (home center stores)
44412,,Paint and Wallpaper Stores,5231,*,"Paint, Glass, and Wallpaper Stores (paint and wallpaper)"
44413,a,Hardware Stores,5072,*,Hardware (sold via retail method)
44413,b,Hardware Stores,5251,,Hardware Stores
44419,a,Other Building Material Dealers,5032,*,"Brick, Stone, and Related Construction Materials (Wholesale) (sold via retail method)"
44419,b,Other Building Material Dealers,5039,*,"Construction Materials, NEC (Wholesale) (glass, sold via retail method)"
44419,c,Other Building Material Dealers,5063,*,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Materials (Wholesale) (sold via retail method)"
44419,d,Other Building Material Dealers,5074,*,"Plumbing and Heating Equipment and Supplies (Hydronics, sold via retail method)"
44419,e,Other Building Material Dealers,5211,*,Lumber and Other Building Materials Dealers (except home centers)
44419,f,Other Building Material Dealers,5231,*,"Paint, Glass, and Wallpaper Stores (glass)"
44421,a,Outdoor Power Equipment Stores,5083,*,Farm and Garden Machinery and Equipment (Wholesale) (sold via retail method)
44421,b,Outdoor Power Equipment Stores,5261,*,"Retail Nurseries, Lawn and Garden Supply Stores (outdoor power equipment)"
44422,a,Nursery and Garden Centers,5191,*,Farm Supplies (sold via retail method)
44422,b,Nursery and Garden Centers,5193,*,"Flowers, Nursery Stock, and Florists' Supplies (sold via retail method)"
44422,c,Nursery and Garden Centers,5261,*,"Retail Nurseries, Lawn and Garden Supply Stores (except outdoor power equipment)"
44511,,Supermarkets and Other Grocery (except Convenience) Stores,5411,*,Grocery Stores (except convenience stores and grocery stores with substantial general merchandise)
44512,,Convenience Stores,5411,*,Grocery Stores (convenience stores without gas)
44521,a,Meat Markets,5421,*,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners (meat except freezer provisioners)"
44521,b,Meat Markets,5499,*,Miscellaneous Food Stores (poultry and poultry products)
44522,,Fish and Seafood Markets,5421,*,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners (seafood)"
44523,,Fruit and Vegetable Markets,5431,,Fruit and Vegetable Markets
445291,,Baked Goods Stores,5461,*,Retail Bakeries (selling only)
445292,,Confectionery and Nut Stores,5441,,"Candy, Nut and Confectionery Stores"
445299,a,All Other Specialty Food Stores,5499,*,"Miscellaneous Food Stores (except food supplements, poultry stores, and stores with food for immediate consumption)"
445299,b,All Other Specialty Food Stores,5451,,Dairy Products Stores
44531,,"Beer, Wine, and Liquor Stores",5921,,Liquor Stores
44611,,Pharmacies and Drug Stores,5912,,Drug Stores and Proprietary Stores
44612,a,"Cosmetics, Beauty Supplies, and Perfume Stores",5087,*,Service Establishment Equipment and Supplies (beauty and barber shop equipment and supplies sold via retail method)
44612,b,"Cosmetics, Beauty Supplies, and Perfume Stores",5999,*,"Miscellaneous Retail Stores, NEC (cosmetics and perfumes)"
44613,,Optical Goods Stores,5995,*,Optical Goods Stores (except  labs grinding prescription lenses)
446191,,Food (Health) Supplement Stores,5499,*,Miscellaneous Food Stores (food supplements)
446199,a,All Other Health and Personal Care Stores,5047,*,"Medical, Dental, and Hospital Equipment and Supplies (sold via retail method)"
446199,b,All Other Health and Personal Care Stores,5999,*,"Miscellaneous Retail Stores, NEC (hearing aids and artificial limbs)"
44711,a,Gasoline Stations with Convenience Stores,5541,*,Gasoline Service Station (gasoline station with convenience store)
44711,b,Gasoline Stations with Convenience Stores,5411,*,Grocery Stores (convenience store with gas)
44719,,Other Gasoline Stations,5541,*,Gasoline Service Station (gasoline station without convenience store)
44811,,Men's Clothing Stores,5611,*,Men's and Boys' Clothing and Accessory Stores (clothing stores)
44812,,Women's Clothing Stores,5621,,Women's Clothing Stores
44813,,Children's and Infants' Clothing Stores,5641,,Children's and Infants' Wear Stores
44814,,Family Clothing Stores,5651,,Family Clothing Stores
44815,a,Clothing Accessories Stores,5611,*,Men's and Boys' Clothing and Accessory Stores (accessories)
44815,b,Clothing Accessories Stores,5632,*,Women's Accessory and Specialty Stores (accessories)
44815,c,Clothing Accessories Stores,5699,*,Miscellaneous Apparel and Accessory Stores (accessories)
44819,a,Other Clothing Stores,5699,*,Miscellaneous Apparel and Accessory Stores (miscellaneous apparel)
44819,b,Other Clothing Stores,5632,*,Women's Accessory and Specialty Stores (specialty stores)
44821,,Shoe Stores,5661,,Shoe Stores
44831,,Jewelry Stores,5944,,Jewelry Stores
44832,,Luggage and Leather Goods Stores,5948,,Luggage and Leather Goods Stores
45111,a,Sporting Goods Stores,5941,,Sporting Goods Stores and Bicycle Shops
45111,b,Sporting Goods Stores,7699,*,"Repair Shops and Related Services, NEC (retailing new bicycles from a storefront and repairing bicycles)"
45112,,"Hobby, Toy, and Game Stores",5945,,"Hobby, Toy, and Game Stores"
45113,a,"Sewing, Needlework, and Piece Goods Stores",5714,*,"Drapery, Curtain, and Upholstery Stores (upholstery materials)"
45113,b,"Sewing, Needlework, and Piece Goods Stores",5949,,"Sewing, Needlework, and Piece Goods Stores"
45114,,Musical Instrument and Supplies Stores,5736,,Musical Instruments Stores
451211,,Book Stores,5942,,Book Stores
451212,,News Dealers and Newsstands,5994,,News Dealers and Newsstands
45122,,"Prerecorded Tape, Compact Disc, and Record Stores",5735,,Record and Prerecorded Tape Stores
45211,,Department Stores,5311,,Department Stores
45291,a,Warehouse Clubs and Superstores,5399,*,Miscellaneous General Merchandise Stores (warehouse clubs and supermarket/general merchandise combination)
45291,b,Warehouse Clubs and Superstores,5411,*,Grocery Stores (grocery stores and supermarkets selling substantial amounts of nonfood items)
45299,a,All Other General Merchandise Stores,5399,*,Miscellaneous General Merchandise Stores (except warehouse club and supermarket/general merchandise combination)
45299,b,All Other General Merchandise Stores,5331,,Variety Stores
45299,c,All Other General Merchandise Stores,5531,*,Auto and Home Supply Stores (other auto and home supply stores)
45311,,Florists,5992,,Florists
45321,a,Office Supplies and Stationery Stores,5044,*,Office Equipment (sold via retail method)
45321,b,Office Supplies and Stationery Stores,5049,*,"Professional Equipment and Supplies, NEC (school supplies sold via retail method)"
45321,c,Office Supplies and Stationery Stores,5112,*,Stationery and Office Supplies (sold via retail method)
45321,d,Office Supplies and Stationery Stores,5943,,Stationery Stores
45322,,"Gift, Novelty, and Souvenir Stores",5947,,"Gift, Novelty, and Souvenir Shops"
45331,,Used Merchandise Stores,5932,*,Used Merchandise Stores (except pawn shops)
45391,,Pet and Pet Supplies Stores,5999,*,"Miscellaneous Retail Stores, NEC (pet and pet supplies)"
45392,,Art Dealers,5999,*,"Miscellaneous Retail Stores, NEC  (art dealer)"
45393,,Manufactured (Mobile) Home Dealers,5271,,Mobile Home Dealers
453991,,Tobacco Stores,5993,,Tobacco Stores and Stands
453998,,All Other Miscellaneous Store Retailers (except Tobacco Stores),5999,*,"Miscellaneous Retail Stores, NEC  (except art, pet and pet supplies, hearing aids, artificial limbs, cosmetics, telephones, typewriters, personal appliances, and rough gems)"
45411,,Electronic Shopping and Mail-Order Houses,5961,,Catalog and Mail-Order Houses
45421,,Vending Machine Operators,5962,,Automatic Merchandise Machine Operators
454311,a,Heating Oil Dealers,5171,*,Petroleum Bulk Stations and Terminals (heating oil sold to final consumer)
454311,b,Heating Oil Dealers,5983,,Fuel Oil Dealers
454312,a,Liquefied Petroleum Gas (Bottled Gas) Dealers,5171,*,Petroleum Bulk Stations and Terminals (LP gas sold to final consumer)
454312,b,Liquefied Petroleum Gas (Bottled Gas) Dealers,5984,,Liquefied Petroleum Gas (Bottled Gas) Dealers
454319,,Other Fuel Dealers,5989,,"Fuel Dealers, NEC"
45439,a,Other Direct Selling Establishments,5421,*,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners (freezer provisioners)"
45439,b,Other Direct Selling Establishments,5963,*,Direct Selling Establishments (except mobile food services)
481111,,Scheduled Passenger Air Transportation,4512,*,"Air Transportation, Scheduled (passenger)"
481112,,Scheduled Freight Air Transportation,4512,*,"Air Transportation, Scheduled (freight)"
481211,,Nonscheduled Chartered Passenger Air Transportation,4522,*,"Air Transportation, Nonscheduled (passenger)"
481212,,Nonscheduled Chartered Freight Air Transportation,4522,*,"Air Transportation, Nonscheduled (freight)"
481219,,Other Nonscheduled Air Transportation,,,Establishments that use general purpose aircraft to provide a variety of specialized flying services
482111,,Line-Haul Railroads,4011,,"Railroads, Line-Haul Operating"
482112,,Short Line Railroads,4013,*,Railroad Switching and Terminal Establishments (belt line and logging railroads)
483111,,Deep Sea Freight Transportation,4412,,Deep Sea Foreign Transportation of Freight
483112,,Deep Sea Passenger Transportation,4481,*,"Deep Sea Transportation of Passengers, Except by Ferry (deep sea activities)"
483113,a,Coastal and Great Lakes Freight Transportation,4424,,Deep Sea Domestic Transportation of Freight
483113,b,Coastal and Great Lakes Freight Transportation,4432,,Freight Transportation on the Great Lakes - St. Lawrence Seaway
483114,a,Coastal and Great Lakes Passenger Transportation,4481,*,"Deep Sea Transportation of Passengers, Except by Ferry (coastal activities)"
483114,b,Coastal and Great Lakes Passenger Transportation,4482,*,Ferries (coastal and Great Lakes)
483211,,Inland Water Freight Transportation,4449,,"Water Transportation of Freight, NEC"
483212,a,Inland Water Passenger Transportation,4482,*,Ferries (inland)
483212,b,Inland Water Passenger Transportation,4489,*,"Water Transportation of Passengers, NEC (water taxi)"
48411,a,"General Freight Trucking, Local",4212,*,Local Trucking without Storage (general freight)
48411,b,"General Freight Trucking, Local",4214,*,Local Trucking with Storage (general freight)
484121,,"General Freight Trucking, Long-Distance, Truckload",4213,*,"Trucking, Except Local (general freight, truckload)"
484122,,"General Freight Trucking, Long-Distance, Less Than Truckload",4213,*,"Trucking, Except Local (general freight, less than truckload)"
48421,a,Used Household and Office Goods Moving,4212,*,Local Trucking Without Storage (household goods moving)
48421,b,Used Household and Office Goods Moving,4213,*,"Trucking, Except Local (household goods moving)"
48421,c,Used Household and Office Goods Moving,4214,*,Local Trucking With Storage (household goods moving)
48422,a,"Specialized Freight (except Used Goods) Trucking, Local",4212,*,Local Trucking without Storage (specialized freight)
48422,b,"Specialized Freight (except Used Goods) Trucking, Local",4214,*,Local Trucking with Storage (specialized freight)
48423,,"Specialized Freight (except Used Goods) Trucking, Long-Distance",4213,*,"Trucking, Except Local (specialized freight)"
485111,,Mixed Mode Transit Systems,4111,*,Local and Suburban Transit (mixed mode)
485112,,Commuter Rail Systems,4111,*,Local and Suburban Transit (commuter rail)
485113,,Bus and Other Motor Vehicle Transit Systems,4111,*,Local and Suburban Transit (bus and motor vehicle)
485119,,Other Urban Transit Systems,4111,*,"Local and Suburban Transit (other than mixed mode, commuter rail, and bus and motor vehicle)"
48521,,Interurban and Rural Bus Transportation,4131,,Intercity and Rural Bus Transportation
48531,a,Taxi Service,4121,,Taxicabs
