year,value,subseries_id,source_id,units,month
1842,-8.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1842,-10.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1842,-11.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1842,-12.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1842,-14.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1842,-14.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1842,-14.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1842,-16.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1842,-16.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1842,-18.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1843,-18.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1843,-19.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1843,-18.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1843,-18.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1843,-17.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1843,-12.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1843,-11.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1843,-11.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1843,-10.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1843,-9.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1843,-8.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1843,-4.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1844,-4.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1844,-2.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1844,-2.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1844,-1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1844,-1.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1844,-0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1844,-0.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1844,-0.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1844,-1.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1844,-1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1844,-1.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1844,-1.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1845,-1.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1845,-1.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1845,-1.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1845,-0.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1845,-0.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1845,-0.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1845,-0.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1845,-0.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1845,0.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1845,1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1845,2.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1845,3.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1846,4.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1846,4.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1846,3.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1846,2.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1846,1.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1846,-1.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
