year,value,subseries_id,source_id,units,industry
1970,-0.0336,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1970,0.1652,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
1970,-0.1887,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
1970,0.1393,S707-A-23-Textiles,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,23 Textiles
1970,0.725,S707-A-24-Clothing---Footwear,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,24 Clothing & Footwear
1970,0.21,S707-A-25-Wood---Cork,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,25 Wood & Cork
1970,0.4587,S707-A-26-Furniture,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,26 Furniture
1970,-0.3404,S707-A-27-Paper,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,27 Paper
1970,0.4339,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1970,0.3791,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1970,-0.0232,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1970,-0.0641,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1970,1.694,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1970,-0.0946,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1970,-0.3128,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1970,-0.0347,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1970,0.1956,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1970,0.7787,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1970,0.02,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1970,0.715,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
1971,0.0352,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1971,0.2203,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
1971,-0.1174,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
1971,0.1262,S707-A-23-Textiles,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,23 Textiles
1971,0.9033,S707-A-24-Clothing---Footwear,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,24 Clothing & Footwear
1971,0.1364,S707-A-25-Wood---Cork,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,25 Wood & Cork
1971,0.2773,S707-A-26-Furniture,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,26 Furniture
1971,-0.2342,S707-A-27-Paper,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,27 Paper
1971,0.3159,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1971,0.3345,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1971,0.0517,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1971,0.0324,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1971,0.4662,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1971,-0.1719,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1971,-0.3017,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1971,0.1131,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1971,0.2112,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1971,0.6635,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1971,-0.1987,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1971,0.5807,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
1972,0.05,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1972,0.1367,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
