Index,Ams1_72.xmcd; Column: tpm,Ams1_72.xmcd; Column: td,Ams1_72.xmcd; Column: tv,Ams1_72.xmcd; Column: tp(r),Ams1_72.xmcd; Column: tpmr = tpm/TPM,Ams1_72.xmcd; Column: tvr = tv/TV,Ams1_72.xmcd; Column: tdr = td/TD,Ams1_72.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_72.xmcd; Column: qtpmtv72,Ams1_72.xmcd; Column: qtpoptv72,Ams1_72.xmcd; Column: qtpmtpop72,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33,FPR009_C34,FPR009_C35,FPR009_C36
57,12815.2,15762.3763052,1971.1093631,1909.8069477,0.0072961,0.008974,0.008974,0.0077527,0.8130265210608425,0.8639068419879653,0.9411043894385182,,,,,,,,,,,,,,,,,,,,,,,,,
58,7020.997,7136.4627431,892.4256254,877.1144847,0.0039973,0.004063,0.004063,0.0035606,0.9838296825006153,0.8763475264582822,1.122647868336797,,,,,,,,,,,,,,,,,,,,,,,,,
59,6561.003,4864.3841327,608.298706,646.0129881,0.0037354,0.0027694,0.0027694,0.0026224,1.3488120170434028,0.946919910449917,1.4244203782794387,,,,,,,,,,,,,,,,,,,,,,,,,
60,12023.6,12347.5727654,1544.0829364,1551.6833352,0.0068454,0.0070298,0.0070298,0.0062989,0.9737688127684998,0.8960283365102847,1.0867611805235835,,,,,,,,,,,,,,,,,,,,,,,,,
61,76745.19,89804.3154679,11230.1675612,14497.3405172,0.0436932,0.0511282,0.0511282,0.0588506,0.8545812291455597,1.1510399349087197,0.7424427278566403,,,,,,,,,,,,,,,,,,,,,,,,,
62,34305.4,27057.2220654,3383.5471709,5680.819162,0.019531,0.0154044,0.0154044,0.0230608,1.2678845005323154,1.4970268235049726,0.8469350586276279,,,,,,,,,,,,,,,,,,,,,,,,,
63,4521.102,4526.3430144,566.026145,686.1018523,0.002574,0.002577,0.002577,0.0027852,0.9988358556461001,1.0807916181606518,0.9241706161137441,,,,,,,,,,,,,,,,,,,,,,,,,
64,54162.3,39877.3033061,4986.7180177,11537.8209297,0.0308361,0.0227033,0.0227033,0.0468367,1.3582210515651911,2.0629908427409234,0.6583747360510027,,,,,,,,,,,,,,,,,,,,,,,,,
65,265049.7,280564.0862225,35084.9698426,32756.2380097,0.1509003,0.1597331,0.1597331,0.132971,0.9447027572869994,0.8324573929886794,1.1348361672845957,,,,,,,,,,,,,,,,,,,,,,,,,
66,77949.29,62673.2880544,7837.3909182,8354.6987212,0.0443788,0.0356817,0.0356817,0.0339151,1.2437411894612647,0.9504900271007267,1.308526290649298,,,,,,,,,,,,,,,,,,,,,,,,,
67,30987.1,34862.667874,4359.630156,3885.5360335,0.0176418,0.0198483,0.0198483,0.015773,0.8888317891204788,0.7946776298222014,1.1184809484562226,,,,,,,,,,,,,,,,,,,,,,,,,
68,68927.59,54289.6463964,6789.0036541,6674.0813865,0.0392424,0.0309086,0.0309086,0.0270928,1.2696272234911965,0.8765456863138414,1.448443867005256,,,,,,,,,,,,,,,,,,,,,,,,,
69,24360.7,24589.4473951,3074.9481586,3569.3534072,0.0138692,0.0139995,0.0139995,0.0144895,0.9906925247330262,1.0350012500446446,0.9571896890851996,,,,,,,,,,,,,,,,,,,,,,,,,
70,12825.59,14424.6771246,1803.8280263,2044.8781982,0.007302,0.0082124,0.0082124,0.008301,0.8891432467975258,1.010788563635478,0.879653053848934,,,,,,,,,,,,,,,,,,,,,,,,,
71,85707.0,96255.9407542,12036.9532109,14008.9333322,0.0487954,0.0548012,0.0548012,0.056868,0.8904075093246133,1.0377145026021328,0.8580467046493635,,,,,,,,,,,,,,,,,,,,,,,,,
